sample_id,metric,bad_case_type,severity,query_or_claim,expected,actual,detail,suggested_next_step
sample_001,Recall@5,retrieval_miss,high,行走过程中人体膝关节角度连续 movement human recognition exoskeleton gait intention research elderly,ev_paper_abstract_p005_c0004,ev_sensors_15_22089_conclusion_p006_c0005,"Expected paper=paper, page=5, section=abstract; returned=['ev_sensors_15_22089_conclusion_p006_c0005', 'ev_paper_methods_p094_c0099', 'ev_s11042_021_11014_8_introduction_p001_c0000', 'ev_sensors_24_07880_introduction_p002_c0003', 'ev_sensors_24_07880_methods_p010_c0012']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_003,Recall@5,retrieval_miss,high,available november posture online gait trajectories subjects imu all comparable,ev_1_s2_0_s0966636223014820_main_discussion_p005_c0009,ev_1_s2_0_s0966636223014820_main_conclusion_p006_c0010,"Expected paper=1_s2_0_s0966636223014820_main, page=5, section=discussion; returned=['ev_1_s2_0_s0966636223014820_main_conclusion_p006_c0010', 'ev_1_s2_0_s0966636223014820_main_discussion_p005_c0008', 'ev_1_s2_0_s0966636223014820_main_introduction_p001_c0000', 'ev_sensors_24_07880_methods_p010_c0012', 'ev_1_s2_0_s0966636223014820_main_methods_p004_c0007']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_005,Recall@5,retrieval_miss,high,frontiersin frontiers neurology www org gait temporal ratio symmetry time,ev_fneur_12_650024_methods_p015_c0026,ev_s12984_024_01521_8_methods_p005_c0007,"Expected paper=fneur_12_650024, page=15, section=methods; returned=['ev_s12984_024_01521_8_methods_p005_c0007', 'ev_fneur_12_650024_results_p001_c0000', 'ev_s12984_024_01521_8_methods_p012_c0019', 'ev_s12984_024_01521_8_discussion_p007_c0010', 'ev_paper_methods_p125_c0130']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_006,Recall@5,retrieval_miss,high,rehabilitation assessment imu-based clinical stroke gait crossref sensors 2019 analysis,ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p018_c0033,ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p009_c0012,"Expected paper=f576837223a054fe14296d7986d3138c38d6, page=18, section=conclusion; returned=['ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p009_c0012', 'ev_applsci_15_10896_results_p018_c0026', 'ev_s12984_024_01521_8_conclusion_p001_c0001', 'ev_s12984_024_01521_8_introduction_p002_c0002', 'ev_applsci_15_10896_conclusion_p013_c0015']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_007,Recall@5,retrieval_miss,high,rehabilitation assessment imu-based clinical stroke people after not clinicians which,ev_f576837223a054fe14296d7986d3138c38d6_results_p008_c0011,ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p009_c0012,"Expected paper=f576837223a054fe14296d7986d3138c38d6, page=8, section=results; returned=['ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p009_c0012', 'ev_s41598_025_94167_y_results_p002_c0003', 'ev_s41598_025_94167_y_1_results_p002_c0003', 'ev_s12984_024_01521_8_conclusion_p001_c0001', 'ev_applsci_15_10896_results_p018_c0026']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_008,Recall@5,retrieval_miss,high,monitoring detection condition abnormal wearable gait system analysis which they,ev_araset_v62_n2_pp1_13_introduction_p003_c0003,ev_araset_v62_n2_pp1_13_conclusion_p012_c0014,"Expected paper=araset_v62_n2_pp1_13, page=3, section=introduction; returned=['ev_araset_v62_n2_pp1_13_conclusion_p012_c0014', 'ev_f576837223a054fe14296d7986d3138c38d6_conclusion_p018_c0034', 'ev_araset_v62_n2_pp1_13_introduction_p005_c0007', 'ev_s11042_021_11014_8_results_p018_c0022', 'ev_sensors_15_22089_introduction_p003_c0002']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_011,Recall@5,retrieval_miss,high,行走过程中人体膝关节角度连续 下肢外骨骼机器人分为被动控制和主动控制两种控制模式 以了解各下肢关节的动力学关系和关节力对机器人的影响 避免了单个连杆的运动学加速度和角速度求解 它是一种基于能量平衡的建模方法 由外骨骼带动人体完成各种动作 膝关节转角和定义的广义坐标 法进行外骨骼系统动力学建模 下肢外骨骼系统动力学模型,ev_paper_abstract_p037_c0042,ev_paper_abstract_p033_c0038,"Expected paper=paper, page=37, section=abstract; returned=['ev_paper_abstract_p033_c0038', 'ev_paper_introduction_p004_c0003', 'ev_paper_methods_p111_c0116', 'ev_paper_abstract_p032_c0037', 'ev_paper_abstract_p013_c0018']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_013,Recall@5,retrieval_miss,high,sensor-based non-hospital neurological disorders inertial position foot kalman zero-velocity subject,ev_sensors_17_00825_v2_methods_p013_c0017,ev_s12984_024_01521_8_introduction_p002_c0002,"Expected paper=sensors_17_00825_v2, page=13, section=methods; returned=['ev_s12984_024_01521_8_introduction_p002_c0002', 'ev_sensors_17_00825_v2_introduction_p003_c0003', 'ev_sensors_17_00825_v2_introduction_p001_c0000', 'ev_sensors_17_00825_v2_conclusion_p028_c0040', 'ev_sensors_24_07880_conclusion_p034_c0049']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_014,Recall@5,retrieval_miss,high,calibration post-stroke kinematics original article inertial analysis gait motion https,ev_1_s2_0_s195903182400054x_main_methods_p009_c0018,ev_sensors_17_00825_v2_conclusion_p028_c0040,"Expected paper=1_s2_0_s195903182400054x_main, page=9, section=methods; returned=['ev_sensors_17_00825_v2_conclusion_p028_c0040', 'ev_1_s2_0_s195903182400054x_main_results_p007_c0012', 'ev_s12984_024_01521_8_methods_p012_c0023', 'ev_1_s2_0_s195903182400054x_main_discussion_p006_c0011', 'ev_1_s2_0_s195903182400054x_main_discussion_p005_c0010']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
sample_015,Recall@5,retrieval_miss,high,spatiotemporal intelligent estimation techniques enhancing foot gait swing stance phase,ev_sensors_24_07880_introduction_p004_c0005,ev_sensors_24_07880_methods_p010_c0013,"Expected paper=sensors_24_07880, page=4, section=introduction; returned=['ev_sensors_24_07880_methods_p010_c0013', 'ev_sensors_17_00825_v2_methods_p018_c0023', 'ev_sensors_24_07880_introduction_p005_c0006', 'ev_1_s2_0_s0966636223014820_main_conclusion_p007_c0015', 'ev_1_s2_0_s0966636223014820_main_conclusion_p006_c0010']","Check chunking, metadata freshness, query rewriting, and reranker/hybrid weights."
